# x, y
0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 4.083333492279052734e+00
5.000000000000000000e-01 2.255208492279052734e+00
2.500000000000000000e-01 1.562825441360473633e+00
7.500000000000000000e-01 3.088867187500000000e+00
1.250000000000000000e-01 1.265645384788513184e+00
6.250000000000000000e-01 2.653340816497802734e+00
3.750000000000000000e-01 1.892272949218750000e+00
8.750000000000000000e-01 3.564473390579223633e+00
6.250000000000000000e-02 1.128907561302185059e+00
5.625000000000000000e-01 2.449748992919921875e+00
3.125000000000000000e-01 1.723450899124145508e+00
8.125000000000000000e-01 3.321473360061645508e+00
1.875000000000000000e-01 1.410259246826171875e+00
6.875000000000000000e-01 2.866273403167724609e+00
4.375000000000000000e-01 2.069459438323974609e+00
9.375000000000000000e-01 3.818279266357421875e+00
3.125000000000000000e-02 1.063476681709289551e+00
