# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.551351547241210938e+00 1.000000000000000000e+00 1.549446225166320801e+00 6.636223793029785156e+00 1.000000000000000000e+00 1.549446225166320801e+00 8.410801887512207031e-01
1.000000000000000000e+03 2.838525106199085712e-04 4.290617653168737888e-06 7.504651148337870836e-05 2.237330627394840121e-04 4.290617653168737888e-06 7.504651148337870836e-05 1.020228257402777672e-03
2.000000000000000000e+03 4.930005161440931261e-05 3.116642983513884246e-05 2.583792820587405004e-06 3.597652175812982023e-05 3.116642983513884246e-05 2.583792820587405004e-06 2.028104150667786598e-03
3.000000000000000000e+03 6.119193130871281028e-06 2.042338707042290480e-07 3.273635229561477900e-05 4.449909738468704745e-06 2.042338707042290480e-07 3.273635229561477900e-05 1.502823783084750175e-03
4.000000000000000000e+03 3.991869107267120853e-06 1.006864567898446694e-05 5.747872273786924779e-05 3.291720304332557134e-06 1.006864567898446694e-05 5.747872273786924779e-05 2.898345701396465302e-03
5.000000000000000000e+03 1.185437940875999629e-05 2.757665606623049825e-05 4.499089438468217850e-03 1.200861788674956188e-05 2.757665606623049825e-05 4.499089438468217850e-03 1.364859193563461304e-02
6.000000000000000000e+03 2.598889750515809283e-06 1.288202111027203500e-05 8.186171908164396882e-05 1.595109210938971955e-06 1.288202111027203500e-05 8.186171908164396882e-05 1.141699962317943573e-03
7.000000000000000000e+03 1.885035885607067030e-06 1.409173364663729444e-06 7.960554285091347992e-06 1.508169248154445086e-06 1.409173364663729444e-06 7.960554285091347992e-06 1.109655597247183323e-03
8.000000000000000000e+03 1.838642788243305404e-06 3.660751701772824163e-10 3.914055923814885318e-06 1.352849380964471493e-06 3.660751701772824163e-10 3.914055923814885318e-06 4.558274522423744202e-04
9.000000000000000000e+03 1.680855802987935022e-06 7.130438461899757385e-08 1.443913788534700871e-08 1.334107196271361317e-06 7.130438461899757385e-08 1.443913788534700871e-08 1.506610569776967168e-04
1.000000000000000000e+04 2.041959987764130346e-06 2.148742623830912635e-07 1.360205988021334633e-05 1.495474975854449440e-06 2.148742623830912635e-07 1.360205988021334633e-05 1.036588335409760475e-03
