# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.992808341979980469e+00 1.043662335723638535e-02 1.010713051073253155e-03 5.990297067910432816e-04 5.105883814394474030e-03 4.568986892700195312e-01 1.357353687286376953e+00 1.043662335723638535e-02 1.010713051073253155e-03 5.990297067910432816e-04 5.105883814394474030e-03 4.568986892700195312e-01
1.000000000000000000e+03 3.076791204512119293e-02 1.207418754347600043e-04 5.458507803268730640e-05 1.074368701665662229e-04 1.724585163174197078e-04 9.738749265670776367e-02 4.521370306611061096e-02 1.207418754347600043e-04 5.458507803268730640e-05 1.074368701665662229e-04 1.724585163174197078e-04 9.738749265670776367e-02
2.000000000000000000e+03 3.116119839251041412e-02 4.762489334098063409e-05 6.448062049457803369e-05 1.231502974405884743e-04 6.113244307925924659e-05 3.742560744285583496e-02 5.298708006739616394e-02 4.762489334098063409e-05 6.448062049457803369e-05 1.231502974405884743e-04 6.113244307925924659e-05 3.742560744285583496e-02
3.000000000000000000e+03 2.458203211426734924e-02 1.028959741233848035e-04 1.025882811518386006e-04 7.091274892445653677e-05 5.262708509690128267e-05 1.970973610877990723e-02 4.474200680851936340e-02 1.028959741233848035e-04 1.025882811518386006e-04 7.091274892445653677e-05 5.262708509690128267e-05 1.970973610877990723e-02
4.000000000000000000e+03 2.182373777031898499e-02 1.036138783092610538e-04 9.080812014872208238e-05 5.125934330862946808e-05 5.363213131204247475e-05 1.190596725791692734e-02 4.172894358634948730e-02 1.036138783092610538e-04 9.080812014872208238e-05 5.125934330862946808e-05 5.363213131204247475e-05 1.190596725791692734e-02
5.000000000000000000e+03 1.866001635789871216e-02 7.136714702937752008e-05 5.709112883778288960e-05 3.024439502041786909e-05 2.716455492191016674e-05 8.250107988715171814e-03 3.687173500657081604e-02 7.136714702937752008e-05 5.709112883778288960e-05 3.024439502041786909e-05 2.716455492191016674e-05 8.250107988715171814e-03
6.000000000000000000e+03 1.615286804735660553e-02 4.198243914288468659e-05 4.038358019897714257e-05 2.559805398050229996e-05 1.717901977826841176e-05 6.595817860215902328e-03 3.320353850722312927e-02 4.198243914288468659e-05 4.038358019897714257e-05 2.559805398050229996e-05 1.717901977826841176e-05 6.595817860215902328e-03
7.000000000000000000e+03 1.570271328091621399e-02 3.474094773991964757e-05 3.990501136286184192e-05 2.191811108787078410e-05 1.395606523146852851e-05 5.755698308348655701e-03 3.115402907133102417e-02 3.474094773991964757e-05 3.990501136286184192e-05 2.191811108787078410e-05 1.395606523146852851e-05 5.755698308348655701e-03
8.000000000000000000e+03 1.222922466695308685e-02 2.208686055382713675e-05 2.607468741189222783e-05 1.326364144915714860e-05 9.408687219547573477e-06 4.057592712342739105e-03 2.698765695095062256e-02 2.208686055382713675e-05 2.607468741189222783e-05 1.326364144915714860e-05 9.408687219547573477e-06 4.057592712342739105e-03
9.000000000000000000e+03 1.030419114977121353e-02 1.621463525225408375e-05 2.022220724029466510e-05 1.147247348853852600e-05 8.335234269907232374e-06 3.200460923835635185e-03 2.379946224391460419e-02 1.621463525225408375e-05 2.022220724029466510e-05 1.147247348853852600e-05 8.335234269907232374e-06 3.200460923835635185e-03
1.000000000000000000e+04 8.036384359002113342e-03 1.088793851522495970e-05 1.618778151168953627e-05 1.121153036365285516e-05 6.476659564214060083e-06 2.261471468955278397e-03 1.929286122322082520e-02 1.088793851522495970e-05 1.618778151168953627e-05 1.121153036365285516e-05 6.476659564214060083e-06 2.261471468955278397e-03
