"u","ids","object_id","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.984e-10,1729,0,1,1.05,5,1.05,0
9.5743e-10,1729,0,1,1.06,5,1.06,0
1.0165e-09,1729,0,1,1.07,5,1.07,0
1.0755e-09,1729,0,1,1.08,5,1.08,0
1.1345e-09,1729,0,1,1.09,5,1.09,0
1.217e-09,1857,0,1,1.1,5,1.1,0
1.3136e-09,1857,0,1,1.11,5,1.11,0
1.4102e-09,1857,0,1,1.12,5,1.12,0
1.5068e-09,1857,0,1,1.13,5,1.13,0
1.6034e-09,1857,0,1,1.14,5,1.14,0
1.7e-09,1857,0,1,1.15,5,1.15,0
1.7966e-09,1857,0,1,1.16,5,1.16,0
1.8932e-09,1856,0,1,1.17,5,1.17,0
2.0389e-09,1984,0,1,1.18,5,1.18,0
2.196e-09,1984,0,1,1.19,5,1.19,0
2.353e-09,1984,0,1,1.2,5,1.2,0
2.51e-09,1985,0,1,1.21,5,1.21,0
2.6671e-09,1985,0,1,1.22,5,1.22,0
2.8241e-09,1985,0,1,1.23,5,1.23,0
2.9811e-09,1985,0,1,1.24,5,1.24,0
3.1382e-09,1984,0,1,1.25,5,1.25,0
3.3918e-09,2112,0,1,1.26,5,1.26,0
3.6454e-09,2112,0,1,1.27,5,1.27,0
3.899e-09,2112,0,1,1.28,5,1.28,0
4.1527e-09,2112,0,1,1.29,5,1.29,0
4.4063e-09,2112,0,1,1.3,5,1.3,0
4.6599e-09,2112,0,1,1.31,5,1.31,0
4.9135e-09,2112,0,1,1.32,5,1.32,0
5.1959e-09,2240,0,1,1.33,5,1.33,0
5.6029e-09,2240,0,1,1.34,5,1.34,0
6.0098e-09,2240,0,1,1.35,5,1.35,0
6.4168e-09,2240,0,1,1.36,5,1.36,0
6.8237e-09,2240,0,1,1.37,5,1.37,0
7.2307e-09,2240,0,1,1.38,5,1.38,0
7.6376e-09,2240,0,1,1.39,5,1.39,0
8.0446e-09,2240,0,1,1.4,5,1.4,0
8.5422e-09,2368,0,1,1.41,5,1.41,0
9.1909e-09,2368,0,1,1.42,5,1.42,0
9.8396e-09,2368,0,1,1.43,5,1.43,0
1.0488e-08,2368,0,1,1.44,5,1.44,0
1.1137e-08,2368,0,1,1.45,5,1.45,0
1.1786e-08,2368,0,1,1.46,5,1.46,0
1.2435e-08,2368,0,1,1.47,5,1.47,0
1.3083e-08,2368,0,1,1.48,5,1.48,0
1.3945e-08,2496,0,1,1.49,5,1.49,0
1.4972e-08,2496,0,1,1.5,5,1.5,0
1.6e-08,2496,0,1,1.51,5,1.51,0
1.7027e-08,2496,0,1,1.52,5,1.52,0
1.8055e-08,2496,0,1,1.53,5,1.53,0
1.9082e-08,2496,0,1,1.54,5,1.54,0
2.011e-08,2496,0,1,1.55,5,1.55,0
2.1137e-08,2496,0,1,1.56,5,1.56,0
2.2606e-08,2624,0,1,1.57,5,1.57,0
2.4223e-08,2624,0,1,1.58,5,1.58,0
2.584e-08,2624,0,1,1.59,5,1.59,0
2.7456e-08,2624,0,1,1.6,5,1.6,0
2.9073e-08,2624,0,1,1.61,5,1.61,0
3.069e-08,2624,0,1,1.62,5,1.62,0
3.2306e-08,2624,0,1,1.63,5,1.63,0
3.3923e-08,2624,0,1,1.64,5,1.64,0
3.6393e-08,2752,0,1,1.65,5,1.65,0
3.8921e-08,2752,0,1,1.66,5,1.66,0
4.1448e-08,2752,0,1,1.67,5,1.67,0
4.3976e-08,2752,0,1,1.68,5,1.68,0
4.6503e-08,2752,0,1,1.69,5,1.69,0
4.903e-08,2752,0,1,1.7,5,1.7,0
5.1558e-08,2752,0,1,1.71,5,1.71,0
5.426e-08,2880,0,1,1.72,5,1.72,0
5.8185e-08,2880,0,1,1.73,5,1.73,0
6.2111e-08,2880,0,1,1.74,5,1.74,0
6.6036e-08,2880,0,1,1.75,5,1.75,0
6.9961e-08,2880,0,1,1.76,5,1.76,0
7.3887e-08,2880,0,1,1.77,5,1.77,0
7.7812e-08,2880,0,1,1.78,5,1.78,0
8.1738e-08,2880,0,1,1.79,5,1.79,0
8.6329e-08,3008,0,1,1.8,5,1.8,0
9.2387e-08,3008,0,1,1.81,5,1.81,0
9.8445e-08,3008,0,1,1.82,5,1.82,0
1.045e-07,3009,0,1,1.83,5,1.83,0
1.1056e-07,3009,0,1,1.84,5,1.84,0
1.1662e-07,3009,0,1,1.85,5,1.85,0
1.2267e-07,3009,0,1,1.86,5,1.86,0
1.2873e-07,3009,0,1,1.87,5,1.87,0
1.364e-07,3137,0,1,1.88,5,1.88,0
1.4569e-07,3137,0,1,1.89,5,1.89,0
1.5498e-07,3137,0,1,1.9,5,1.9,0
1.6427e-07,3137,0,1,1.91,5,1.91,0
1.7355e-07,3137,0,1,1.92,5,1.92,0
1.8284e-07,3137,0,1,1.93,5,1.93,0
1.9213e-07,3137,0,1,1.94,5,1.94,0
2.0142e-07,3137,0,1,1.95,5,1.95,0
2.1405e-07,3265,0,1,1.96,5,1.96,0
2.2819e-07,3265,0,1,1.97,5,1.97,0
2.4234e-07,3265,0,1,1.98,5,1.98,0
2.5649e-07,3265,0,1,1.99,5,1.99,0
2.7064e-07,3265,0,1,2,5,2,0
2.8478e-07,3265,0,1,2.01,5,2.01,0
2.9893e-07,3265,0,1,2.02,5,2.02,0
3.1308e-07,3265,0,1,2.03,5,2.03,0
3.3358e-07,3393,0,1,2.04,5,2.04,0
3.5499e-07,3393,0,1,2.05,5,2.05,0
